Name,imdb2,imdb3,imdb4,imdb5,imdb6,imdb7,imdb8
Jacques Perrin,0,0,0,0,0,1,0
Robert Zemeckis,0,0,0,0,1,0,0
Walt Becker,0,0,0,1,0,0,0
Tim Burton,0,0,0,0,2,1,0
Mike Newell,0,0,0,0,1,0,0
Lee Unkrich,0,0,0,0,0,0,2
Hiromasa Yonebayashi,0,0,0,0,0,1,0
Randall Wallace,0,0,0,0,0,1,0
Nathan Greno,0,0,0,0,0,1,0
Joseph Kosinski,0,0,0,0,1,0,0
Simon Wells,0,0,0,1,0,0,0
Don Hall,0,0,0,0,0,2,0
Stephen J. Anderson,0,0,0,0,0,1,0
Keith Scholey,0,0,0,0,0,2,0
Joe Nussbaum,0,0,0,1,0,0,0
Rob Marshall,0,0,0,1,2,0,0
James Bobin,0,0,0,0,2,1,0
Brenda Chapman,0,0,0,0,0,1,0
Mark Andrews,0,0,0,0,0,1,0
Peter Hedges,0,0,0,0,1,0,0
Rich Moore,0,0,0,0,0,2,1
Sam Raimi,0,0,0,0,1,0,0
Dan Scanlon,0,0,0,0,0,2,0
Klay Hall,0,0,0,1,0,0,0
Jennifer Lee,0,0,0,0,1,1,0
Craig Gillespie,0,0,0,0,1,1,0
Robert Stromberg,0,0,0,0,0,1,0
Bobs Gannaway,0,0,0,0,1,0,0
Miguel Arteta,0,0,0,0,1,0,0
Niki Caro,0,0,0,0,0,2,0
Kenneth Branagh,0,0,0,0,1,0,0
Peter Sohn,0,0,0,0,1,0,0
Jon Favreau,0,0,0,0,0,1,1
Steven Spielberg,0,0,0,0,1,0,0
David Lowery,0,0,0,0,1,0,0
Lu Chuan,0,0,0,0,0,1,0
Mira Nair,0,0,0,0,0,1,0
Bill Condon,0,0,0,0,0,0,1
Espen Sandberg,0,0,0,0,1,0,0
Joachim R?nning,0,0,0,0,2,0,0
Brian Fee,0,0,0,0,1,0,0
Ava DuVernay,0,0,1,0,0,0,0
Lasse Hallstr?m,0,0,0,1,0,0,0
Phil Johnston,0,0,0,0,0,1,0
Josh Cooley,0,0,0,0,0,1,0
